Anno;Parti semplici;Parti gemellari;Parti trigemini o di ordine superiore;Totale parti;Parti plurimi x 1000 parti;Nati da parti plurimi;Totale nati a Milano;;
1979;19858;181;3;20042;9,2;371;20229;;
1980;18618;187;6;18811;10,3;395;19013;;
1981;18134;163;3;18300;9,1;335;18469;;
1982;17439;162;5;17606;9,5;340;17779;;
1983;16858;172;4;17034;10,3;357;17215;;
1984;16217;170;2;16389;10,5;347;16564;;
1985;16473;157;3;16633;9,6;323;16796;;
1986;15605;173;4;15782;11,2;359;15964;;
1987;15315;151;5;15471;10,1;317;15632;;
1988;16078;171;4;16253;10,8;355;16433;;
1989;15937;178;6;16121;11,4;374;16311;;
1990;15704;160;6;15870;10,5;340;16044;;
1991;15518;170;4;15692;11,1;352;15870;;
1992;16183;182;4;16369;11,4;376;16559;;
1993;15332;191;11;15534;13,0;415;15747;;
1994;15022;211;6;15239;14,2;440;15462;;
1995;15253;180;6;15439;12,1;377;15630;;
1996;15864;193;13;16070;12,8;425;16289;;
1997;13061;167;8;13236;13,2;359;13420;;
1998;10381;133;10;10524;13,6;297;10678;;
1999;10628;133;2;10763;12,5;273;10901;;
2000;11378;183;4;11565;16,2;378;11756;;
2001;12494;214;7;12715;17,4;449;12943;;
2002;13312;194;10;13516;15,1;418;13730;;
2003;12170;196;6;12372;16,3;410;12580;;
2004;12139;173;8;12320;14,7;371;12510;;
2005;11936;184;6;12126;15,7;386;12322;;
2006;12119;199;12;12330;17,1;434;12553;;
2007;11876;191;10;12077;16,6;412;12288;;
2008;11937;223;11;12171;19,2;479;12416;;
2009;11876;229;8;12113;19,6;481;12357;;
2010;11517;234;6;11757;20,4;486;12003;;
2011;11251;193;14;11458;18,1;428;11679;;
2012;11154;225;4;11383;20,1;462;11616;;
2013;11028;210;6;11244;19,2;438;11466;;
2014;11167;253;3;11423;22,4;515;11682;;
2015;11299;227;5;11531;20,1;469;11768;;
2016;11314;233;2;11549;20,3;472;11786;;
2017;11276;208;5;11489;18,5;431;11707;;
